State	EventYear	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
GA	1992	1	1	1	0	2	6	0	1	1	1	0	4
GA	1993	0	0	0	4	1	1	0	2	0	0	0	0
GA	1994	0	2	1	0	0	0	4	1	0	0	0	0
GA	1995	0	1	5	0	0	7	2	8	1	4	1	1
GA	1996	0	0	0	3	1	0	2	3	0	3	1	0
GA	1997	0	0	2	7	1	4	0	2	0	0	2	1
GA	1998	2	0	2	2	0	0	0	0	2	2	15	0
GA	1999	0	0	0	0	0	2	2	0	3	0	0	0
GA	2000	0	0	1	0	6	1	2	0	17	2	13	
GA	2001	3	1	0	0	0	0	1	9	0	4	6	0
GA	2002		0	1	0	4	0	0	0	0	1	0	3
GA	2003	1	3	0	2	2	1	2	1	2	1	4	2
GA	2004	0	0	0	0	0	3	1	2	2	0	2	
GA	2005	1		0	2	4	2	0	0	0	1	0	1
GA	2006	0	0	2	1	0		2	1	1	0	0	3
GA	2007	0	0	0	1	1	2	0	0	1	0	0	0
GA	2008	0	1	0	2	0	0	1	3	0	1	0	1
GA	2009	0	0	0	0		2	2	4	2	0	0	0
GA	2010	0	3	0	1	0	1	0	3	4	3		
GA	2011		0	1	0								
GM	1996										2		
GM	1997									4			
GM	2000										0		
GM	2001	0		0		0			0	0	2		
GM	2002	0		0			0	2	0				0
GM	2003		0			0		0		1	0	0	0
GM	2004			1		0		1	0			1	2
GM	2005					0			0				
GM	2006		2			0	0				1		
GM	2007		0			2		0	1				0
GM	2009	0				0		0				1	0
GM	2010												0
GU	1987				0								
GU	1989									0			
GU	1991										1		
GU	1997								0				
GU	2002					1							0
GU	2005								2				
GU	2006							3					
GU	2010				0								
HI	1982	2	0		0	2		0	2	3	0	0	
HI	1983	1		0		0	0	2		9	0		1
HI	1984	0	0		0	0	0	0	0	0		38	
HI	1985	4	1		7		0	2	0	5		0	0
HI	1986	1	1	7	1	2	0	2			0	0	
HI	1987	0	2	1	5	0	0	0	1	0		2	0
HI	1988			0	57	2	0		0	0		0	1
HI	1989		37			7	0	1	5	0	1		0
HI	1990			0		0	0			0		2	1
HI	1991	2		0		3	1	0	0	2	0	2	0
HI	1992	0	0	0	0	0	7	0	0	3		3	2
HI	1993	1	0				0	0	0	0	2		
HI	1994		0	2	1		0	0	0	1	4	2	1
HI	1995			0		1		0		1	4		0
HI	1996	0	0					0	0		0	0	0
HI	1997	0	3		6	0	0	1	58	1	0		
HI	1998	0	0				0			0	0		
HI	1999			0		0	3	0	0	0	0	2	
HI	2000		0		0	0			8		0	0	0
HI	2001	0	1	0		0	0			2	0		1
HI	2002							0					
HI	2003	0				0	0	0	0	0		0	0
HI	2004	0	0		1			1	1	0	0		0
HI	2005	0	0		2	0		0	0	3	0		0
HI	2006	4		0	3	1		0	0		2		
HI	2007	0		0	7	0	0		0				3
HI	2008	0	5	0		0	0	0				1	0
HI	2009	2						0	0		1	0	
HI	2010	0			0	0							0
HI	2011		0										
IA	1982	0	0	0	0	2	3	3	2	1	0	0	0
IA	1983	0	1	0	0	0	1	1	4	0	0	0	2
IA	1984	0	0	0	2	1	1	1	0	0		1	0
IA	1985	1	0	0	0	1	0	6	2	6	0	0	0
IA	1986	0		2	0	0	1	0	0	1			
IA	1987	3		0	0	0	1	0	0	0	0	2	0
IA	1988	0	0	0	2	0	0	0	1	0	0	0	0
IA	1989	0	0	0			0	127	4		0	1	
IA	1990	0		0	4	0	3	1	0	0	0	0	
IA	1991	2		0		0	1	0	0	0	4	1	0
IA	1992		1		1	1	0	2	0	1	2	1	7
IA	1993	0	1	0	0	0	0	1	0	0	0		2
IA	1994			0		2		0	5	0		1	3
IA	1995	0					0	3		1	0	1	
IA	1996	0	0	0	0	0		0	1	1			0
IA	1997	0	0	0	0	0	0	2	1	1	0	0	0
IA	1998	0	1	2		0	1	4	0	2	0	0	1
IA	1999			0	0	0	3	2	0	0	0		0
IA	2000			2	0		2		0	0	2	0	
IA	2001					2	1	0		1	0	0	
IA	2002	0	0	0	1			0	0	0	0		
IA	2003	0	0	0		0	0	0	3	1	2	0	0
IA	2004		0	3				1	0	0	2	0	0
IA	2005			0		0			1	1	2	0	2
IA	2006						0	0	0	0	0	0	0
IA	2007		0	0		0	2	1	1	0		0	
IA	2008		0		1		2	2	2	0	0		0
IA	2009						1	4	1	1			0
IA	2010	3	0	0	5	0	0	2		0	0	0	
IA	2011	0	0		0								
ID	1948										0		
ID	1982	0	0	0	3	0	5	2	4	1	2	0	1
ID	1983	0	1	0	1	0	0	1	0		5	0	0
ID	1984	1	0	1	2	1		2	1	0	0	1	0
ID	1985		0	0	0	0	3	0	2	5	1	0	0
ID	1986	0	0	2	2	3	2	1	10		0	2	0
ID	1987	0	0	0	1	0	0	2	0	2	0	0	
ID	1988	1		0	0	0	4	2	0	0	0	0	0
ID	1989	0	0	0	1	2	0	2	0	0	0		
ID	1990	0			0	1	2	0	0	1	0	2	0
ID	1991			0	0	0	1	1	0	2	0	0	0
ID	1992		0	0	0	1	0	3	13	1	0	0	3
ID	1993	0	0	0		0		2	2	2	0	0	
ID	1994	0	0	0	0	1	1	2	5	1	2	0	0
ID	1995		0	0	0	1	4	1	0	3	0	0	0
ID	1996	0	0	0		0	3	5	0	0	1	0	0
ID	1997	2		0		0	0	5	2	1	0	0	0
ID	1998	0	0	0	0	2	2	2	0	0	0	0	0
ID	1999	1	0	0	0	0	2	3	1	0	0	0	
ID	2000		0		1	3	1	2	6	0	0	0	0
ID	2001	0		0	1	0	2	0	0	0	0	0	
ID	2002	0		1	0	2	2	1	3	1	0	0	0
ID	2003	0		0	1	0	0	4	1	1		0	0
ID	2004	0	0		0	0	1	3	0	1	2	0	0
ID	2005	0	0	0	0	1	2	1	2	0	0		0
ID	2006	0		0	0	0	0	0	0	0	0	0	1
ID	2007	0	0	2	0	1	4	4	0	0		0	0
ID	2008			1	0	6	3	1	1	0		0	0
ID	2009		2		0	2	2	6	2	0	0	0	0
ID	2010	0	0	0	1	1	0	1	0	1		0	
ID	2011	0	2	0									
IL	1982	0	1	3	0	6	2	3	0	4	6	0	0
IL	1983	2	0	0	0	6	17	0	4	4	0	0	0
IL	1984	2	1	0	1	4	2	6	6	0	1	1	0
IL	1985	0	3	0	2	1	6	5	2	1	0	2	0
IL	1986	0	2	1	6	0	0	2	2	3	4	4	0
IL	1987	0	0	7	0	0	3	0	3	5	0	2	0
IL	1988	1	1	0	1	2	2	0	8	0	1	1	0
IL	1989	0	0	1	2	3	3	1	3	5	0	0	2
IL	1990	0	0	2	2	0	7	0	3	1		1	3
IL	1991	2	0	1	1	0	2	2	3	0	1	1	2
IL	1992	0	1	1	0	2	3	0	2	0	0	7	0
IL	1993	0		0	0	2	15	1	7	1	0	0	0
IL	1994	1	0	0	0	2	1	6	3	0	5	5	1
IL	1995		0	0	1	0	1	1	3	5	0	0	0
IL	1996	0	0		1	2	0	1	4	1	0	2	0
IL	1997		0	20	2	4	0	2	2	3	0	3	0
IL	1998	0	23		4	0	1	2	5	0		0	0
IL	1999	2	1	2	0	0	0	5	1	0	0	0	1
IL	2000		6	1	2		2	1	2	0	0	0	2
IL	2001	0	7	2	1	0	4	1	3	0	0	0	0
IL	2002	0	0	0	0	1	1	2	4	1	5	0	0
IL	2003	0	0	0	0	2	1	1	5	1	1	2	0
IL	2004	0	0	0	0	0	2	0	0	0	1	1	
IL	2005					1	1	5	3	1	1	1	21
IL	2006	0	2	0	0	0	4	2		2	0	0	0
IL	2007	0	0	0	1	0	1	1	1	0	2	0	0
IL	2008	0	0	0	0	0	1	0	3	2	0	1	0
IL	2009	0	0	1	0	3	0	0	1	1	0	2	0
IL	2010	1	0	0	0	0	0	2	6	1	1	0	2
IL	2011	1	0										
IN	1982	0	1	0	0	18	3	2	0	0	1	0	0
IN	1983	0	2	0	1	1	0	1	7	1	0	0	1
IN	1984	0	1	0	0	0	2	2	0	3	4	0	1
IN	1985	2	0	7	0	4	0	0	1	0	19	0	0
IN	1986	0	0	0	2	1	0	5	0	2	0	4	0
IN	1987	0	0	0	1	5	0	3	2	5	0	0	
IN	1988	3	0	3	0	2	0	1	1	0	5	0	0
IN	1989	0		2	0	0	3	1	0	6	0	0	0
IN	1990	0	0	0	1	1	0		1	3	1	2	0
IN	1991	1	0		1	0	0	2	3	0	0		3
IN	1992	0	0	2	0	0	0	1	0	0	0		0
IN	1993	0	1	0	0	0	1	0	0	0	0	0	1
IN	1994	0	0	1	0	0	3	2	0	4	0	0	
IN	1995	0	0		0	1	1	3	3	2	3	0	0
IN	1996	0	0	0	0	12	0	0	1	0	0		0
IN	1997	0		0	2	2	2	2	0	0	0	0	0
